date,rank,rating
05/08/2023,323,0.0004052805871046
05/09/2023,323,0.0004052805871046
05/10/2023,323,0.0004052805871046
05/11/2023,323,0.0004052805871046
05/12/2023,323,0.0004052805871046
05/13/2023,339,0.0003845453012527
05/14/2023,339,0.0003845453012527
05/15/2023,339,0.0003845453012527
05/16/2023,339,0.0003845453012527
05/17/2023,339,0.0003845453012527
05/18/2023,339,0.0003845453012527
05/19/2023,339,0.0003845453012527
05/20/2023,343,0.0003801252403188
05/21/2023,343,0.0003801252403188
05/22/2023,343,0.0003801252403188
05/23/2023,343,0.0003801252403188
05/24/2023,343,0.0003801252403188
05/25/2023,343,0.0003801252403188
05/26/2023,338,0.0003872470246807
05/27/2023,338,0.0003872470246807
05/28/2023,337,0.0003872470246807
05/29/2023,337,0.0003872470246807
05/30/2023,337,0.0003872470246807
05/31/2023,337,0.0003872470246807
06/01/2023,337,0.0003872470246807
06/02/2023,337,0.0003872470246807
06/03/2023,337,0.0003872470246807
06/04/2023,337,0.0003872470246807
06/05/2023,337,0.0003872470246807
06/06/2023,337,0.0003872470246807
06/07/2023,337,0.0003872470246807
06/08/2023,337,0.0003872470246807
06/09/2023,337,0.0003872470246807
06/10/2023,337,0.0003872470246807
06/11/2023,337,0.0003872470246807
06/12/2023,337,0.0003872470246807
06/13/2023,337,0.0003872470246807
06/14/2023,337,0.0003872470246807
06/15/2023,337,0.0003872470246807
06/16/2023,337,0.0003872470246807
06/17/2023,338,0.0003845453012527
06/18/2023,338,0.0003845453012527
06/19/2023,338,0.0003845453012527
06/20/2023,338,0.0003845453012527
06/21/2023,338,0.0003845453012527
06/22/2023,338,0.0003845453012527
06/23/2023,338,0.0003845453012527
06/24/2023,338,0.0003845453012527
06/25/2023,338,0.0003845453012527
06/26/2023,338,0.0003845453012527
06/27/2023,338,0.0003845453012527
06/28/2023,338,0.0003845453012527
06/29/2023,338,0.0003845453012527
06/30/2023,338,0.0003845453012527
07/01/2023,338,0.0003845453012527
07/02/2023,338,0.0003845453012527
07/03/2023,338,0.0003845453012527
07/04/2023,338,0.0003845453012527
07/05/2023,338,0.0003845453012527
07/06/2023,338,0.0003845453012527
07/07/2023,338,0.0003845453012527
07/08/2023,338,0.0003845453012527
07/09/2023,338,0.0003845453012527
07/10/2023,338,0.0003845453012527
07/11/2023,338,0.0003845453012527
07/12/2023,338,0.0003845453012527
07/13/2023,338,0.0003845453012527
07/14/2023,338,0.0003845453012527
07/15/2023,338,0.0003845453012527
07/16/2023,295,0.000414244015174
07/17/2023,295,0.0004142534693633
07/18/2023,309,0.0004000210094985
07/19/2023,309,0.0004000280324247
07/20/2023,309,0.0004000350748839
07/21/2023,309,0.0004000421369281
07/22/2023,309,0.0004000492185896
07/23/2023,309,0.0004000563198974
07/24/2023,309,0.000400063440881
07/25/2023,309,0.0004000705815719
07/26/2023,309,0.000400077742004
07/27/2023,309,0.0004000849222139
07/28/2023,309,0.0004000921222413
07/29/2023,309,0.0004000993421289
07/30/2023,309,0.0004001065819226
07/31/2023,309,0.0004001138416712
08/01/2023,309,0.000400121121427
08/02/2023,309,0.0004001284212456
08/03/2023,309,0.0004001357411861
08/04/2023,309,0.000400143081311
