athlete_name,date,event,location,distance,current_type,temp,field_size,place
Evgenij POP ACEV,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,1.0
Damian BLAUM,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,2.0
Bertrand VENTURI,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,3.0
Marcel SCHOUTEN,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,4.0
Matheus EMERIM EVANGELISTA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,5.0
Edoardo STOCHINO,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,6.0
Tomi STEFANOVSKI,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,7.0
Gabriele MARIA MENTO,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,8.0
Aleksandar ILIEVSKI,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,9.0
Saleh MOHAMMAD,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,10.0
Aquiles BALAUDO,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,11.0
Simon PASTOR,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0,12.0
