athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Marcel Schouten,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Colonese,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Gustavo Foratto G. De Barros,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Thomas Mckay,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pouliot,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Belanger,,07/26/2018,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,21.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
