date,rank,rating
07/18/2023,319,0.0004470268792831
07/19/2023,319,0.0004470308488873
07/20/2023,307,0.0004648612830694
07/21/2023,307,0.0004648652976911
07/22/2023,307,0.0004648692878942
07/23/2023,307,0.0004648732597635
07/24/2023,307,0.0004648772171384
07/25/2023,307,0.0004648811626961
07/26/2023,307,0.0004648850984252
07/27/2023,307,0.0004648890258703
07/28/2023,307,0.0004648929462708
07/29/2023,307,0.0004648968606469
07/30/2023,307,0.0004649007698553
07/31/2023,307,0.0004649046746272
08/01/2023,307,0.0004649085755957
08/02/2023,307,0.0004649124733148
08/03/2023,307,0.0004649163682745
08/04/2023,307,0.0004649202609116
08/05/2023,307,0.0004649241516188
08/06/2023,307,0.0004649280407513
08/07/2023,307,0.000464931928632
08/08/2023,307,0.0004649358155567
08/09/2023,307,0.0004649397017969
08/10/2023,307,0.0004649435876035
08/11/2023,297,0.000479661000842
08/12/2023,297,0.000479665009425
08/13/2023,297,0.0004796690182316
08/14/2023,297,0.0004796730274566
08/15/2023,297,0.0004796770372829
08/16/2023,297,0.0004796810478827
08/17/2023,297,0.0004796850594185
08/18/2023,297,0.000479689072044
08/19/2023,305,0.0004664092773719
08/20/2023,305,0.000466413181415
08/21/2023,305,0.0004664170869217
08/22/2023,305,0.0004664209940137
08/23/2023,305,0.0004664249028077
08/24/2023,305,0.0004664288134149
08/25/2023,305,0.0004664327259422
08/26/2023,305,0.0004664366404917
08/27/2023,304,0.0004664405571619
08/28/2023,304,0.0004664444760472
08/29/2023,304,0.0004664483972387
08/30/2023,304,0.0004664523208241
08/31/2023,304,0.0004664562468881
09/01/2023,304,0.0004664601755127
09/02/2023,304,0.000466464106777
09/03/2023,305,0.000465037157197
09/04/2023,305,0.0004650410818922
09/05/2023,305,0.0004650450094414
09/06/2023,305,0.0004650489399142
09/07/2023,305,0.0004650528733785
09/08/2023,305,0.0004650568099001
09/09/2023,305,0.0004650607495433
09/10/2023,304,0.0004650646923704
09/11/2023,304,0.0004650686384425
09/12/2023,304,0.0004650725878188
09/13/2023,304,0.0004650765405574
09/14/2023,304,0.000465080496715
09/15/2023,304,0.0004650844563467
09/16/2023,304,0.0004650884195069
09/17/2023,304,0.0004650923862484
09/18/2023,304,0.0004650963566231
09/19/2023,304,0.0004651003306817
09/20/2023,304,0.0004651043084741
09/21/2023,304,0.0004651082900491
09/22/2023,304,0.0004651122754546
09/23/2023,307,0.0004608750829923
09/24/2023,307,0.0004608790397867
09/25/2023,307,0.000460883000514
09/26/2023,307,0.0004608869652184
09/27/2023,307,0.0004608909339432
09/28/2023,307,0.0004608949067313
09/29/2023,307,0.0004608988836248
09/30/2023,307,0.000460902864665
10/01/2023,307,0.0004609068498929
10/02/2023,307,0.0004609108393485
10/03/2023,307,0.0004609148330716
10/04/2023,307,0.0004609188311013
10/05/2023,307,0.0004609228334761
10/06/2023,307,0.0004609268402341
10/07/2023,307,0.0004609308514128
10/08/2023,307,0.0004609348670493
10/09/2023,307,0.0004609388871803
10/10/2023,307,0.000460942911842
10/11/2023,307,0.0004609469410701
10/12/2023,307,0.0004609509749
10/13/2023,307,0.0004609550133667
10/14/2023,307,0.0004609590565047
10/15/2023,307,0.0004609631043484
10/16/2023,307,0.0004609671569315
10/17/2023,307,0.0004609712142876
10/18/2023,307,0.0004609752764499
10/19/2023,307,0.0004609793434512
10/20/2023,307,0.0004609834153243
10/21/2023,307,0.0004609874921012
10/22/2023,307,0.0004609915738141
10/23/2023,307,0.0004609956604946
10/24/2023,307,0.0004609997521742
10/25/2023,307,0.000461003848884
10/26/2023,307,0.000461007950655
10/27/2023,307,0.0004610120575179
10/28/2023,307,0.0004610161695031
10/29/2023,307,0.0004610202866407
10/30/2023,307,0.0004610244089609
10/31/2023,307,0.0004610285364933
11/01/2023,307,0.0004610326692676
11/02/2023,307,0.0004610368073132
11/03/2023,307,0.0004610409506591
11/04/2023,307,0.0004610450993343
